time,cam_x,cam_y,cam_z,obj_x,obj_y,obj_z,cam_i,cam_j,cam_k,cam_w,obj_i,obj_j,obj_k,obj_w
0.05,158.12320669946286,-387.2158878212654,135.66614846153792,127.14242448544266,1120.455310061499,124.7775668844454,0.019876757004590098,0.006372090233304176,0.6939949958968075,0.7196771892086266,-0.009461735218608412,0.001195567068304582,-0.003495339846326814,0.9999484130620924
0.05,153.99063771151563,-387.2950570310417,135.7303817020107,132.68635601409403,1120.4649476708641,124.68349249731413,0.02016036993998856,0.007146900125531408,0.6948183463697187,0.7188671273959661,-0.009689407538534308,0.0018222600286246964,-0.0035083553236034686,0.9999452415971904
0.05,150.12207438045053,-387.28405235955614,135.8896464215402,137.67749229944553,1120.4985409261608,124.5414403841933,0.018520512749578517,0.007924839837548278,0.6959663322160511,0.7177917887122833,-0.009136750961131788,0.0015481065119983277,-0.004034536931110348,0.9999489215254214
0.05,146.40112844508914,-387.31179120820354,135.8486730702721,142.25006715263987,1120.545570457666,124.47738369447359,0.019402569612329817,0.009157060432048725,0.6952769333621803,0.7184216550683622,-0.009406588030646645,0.0013408194210600209,-0.004016131062157614,0.9999467930826087
0.05,142.15601442324046,-387.29114640016553,135.98896786131118,146.81024109865015,1120.561761231219,124.3791004542816,0.02029919675839214,0.007782106994045666,0.6955741602917457,0.7181253156351822,-0.009172402973035324,0.0012140921065796736,-0.0032115841534573106,0.9999520382154747
0.05,137.3677021070554,-387.3288138100285,136.08555999211777,152.1753465956794,1120.615020733126,124.22832911082119,0.020525061881461245,0.005760927369420353,0.6941640544844913,0.7195010764496872,-0.0094840775764827,0.001181800059917778,-0.0036011176792630616,0.9999478424260946
0.05,131.765218937967,-387.2890274524465,136.15938841843374,158.61779763830998,1120.6169506417764,124.06918409286529,0.021998243394629493,0.002055537002296416,0.6936536159258977,0.7199698001778339,-0.009491273884506166,0.0016014227351106108,-0.0030980350229749334,0.9999488753652706
0.05,126.28743899956734,-387.3930232666131,136.3903423980419,164.36389824242394,1120.6562191883359,123.94362953530836,0.020510945978368368,0.0065013096295299415,0.6950086624634688,0.7186793396007107,-0.009325378951476953,0.0013708005433774374,-0.0035605769794423924,0.9999492389640862
0.05,120.3476496500722,-387.2150968829175,136.46751797463133,170.89213483475731,1120.6594533430125,123.79834928992899,0.0229001301098448,-0.005869782259339414,0.6899519713975721,0.7234690089159205,-0.009206199671647191,0.0017364772452774463,-0.0035266713279653006,0.9999498953066234
0.05,113.58238347065449,-387.3210474314095,136.73693388276826,179.62198067126,1120.7133551483198,123.59364511656766,0.022491317670078205,-0.001780726941652385,0.6911644889411053,0.7223452213919628,-0.009257390954296847,0.0012276989111899778,-0.004134114606502837,0.9999478499224463
0.05,108.11986779250621,-387.2569839710459,136.7734446585477,187.06169504236098,1120.7394151532353,123.4637255052374,0.02295313008882308,0.0017412341894719595,0.693344326854969,0.7202386870619023,-0.009320903827959933,0.0013165043685765144,-0.0036844595369454375,0.9999489048576423
0.05,102.95279147509146,-387.4993325261585,136.96053490389468,194.08480381530455,1120.8509909970885,123.29258260175428,0.01994221165725865,0.008243502821498085,0.6950117663254018,0.7186744725706447,-0.00943023656370739,0.001267170297174695,-0.0036445816615487767,0.9999480896238079
0.05,97.92520916629616,-387.4051769481944,137.0423887718047,200.15928106155835,1120.904639695729,123.13243356219907,0.023005374622337562,0.003808361497335392,0.6944523084174922,0.7191607890137003,-0.00938775778553969,0.0010195517167733326,-0.0033895113911310087,0.9999496695987186
0.05,93.51949847032779,-387.54007157564,137.13683725229612,206.28523532605195,1120.9503219487456,122.96585877703403,0.020134482428619607,0.0070813761939412054,0.6948581762359756,0.7188300019104277,-0.009247004908116753,0.0014231551556965962,-0.00304654669244279,0.9999515918697679
0.05,89.37538662249919,-387.5481258213093,137.27243041962913,211.30495468625256,1120.9519475927643,122.89325113261879,0.019126495039960268,0.009016863898512726,0.6953209666369742,0.7183882144829118,-0.009060687460329318,0.0013163866565643746,-0.0033128486804760537,0.9999525969277429
0.05,85.66731352760088,-387.49598145626,137.3017939977028,215.60728168823374,1120.9506047715217,122.80291368482602,0.0197542518889644,0.008481869064463039,0.6946701918265689,0.71900705978253,-0.008884850099147194,0.0014422269046692195,-0.0032275594008358863,0.9999542800951378
0.05,82.41234246125344,-387.51433269038364,137.39467745361205,216.6332808964803,1120.9704573773354,122.76325241471,0.01921659173287211,0.0098775707335462,0.6950729963548606,0.7186144209079386,-0.008960025995530408,0.001242817594166648,-0.003433225394148353,0.9999531920554983
0.05,78.52726271257706,-387.4738958602164,137.47557027694637,216.62665911768607,1120.9125947358277,122.77323231044444,0.0193151211686975,0.008246682473184669,0.6943515285930852,0.719329460722186,-0.008644468222603731,0.0011960291763157555,-0.00344277668948277,0.9999559940177488
0.05,74.40263277058637,-387.43803586552207,137.53856461134404,216.58952100519792,1120.899283928419,122.75171955017923,0.020187875357878946,0.006033016372275196,0.6937550418444739,0.7199027672660795,-0.0086649815952581,0.0009906852064092365,-0.0035731460253015696,0.9999555836457225
0.05,69.68924204956174,-387.52431649806374,137.7334828840221,216.50092824847025,1120.9182595245477,122.7704502769059,0.019439928214556496,0.008764572249424916,0.6954550440084215,0.7182531261522932,-0.008825854467177529,0.0009145533999743375,-0.0035832932756388555,0.9999542128989225
0.05,64.24887930521894,-387.55403645573307,137.82399528566802,215.96740116854647,1120.948398775698,122.77385668047702,0.02080469501169857,0.007370110894108677,0.694264907961054,0.7193810420804181,-0.00889499243837788,0.000937575672305682,-0.0034049647152956295,0.9999542020896095
0.05,58.26073995105206,-387.474198077286,137.96927040999228,213.79538668034732,1120.9108581674157,122.82729829517862,0.021327528677837874,0.0038146701683934225,0.6934142203524729,0.7202133738170755,-0.008849769105438608,0.0018364996093541077,-0.0033469064147435596,0.9999535524580211
0.05,51.904985244692675,-387.42654113079567,138.18901709845989,209.92814120202732,1120.9059817243353,122.89678816685992,0.023812833364906395,-0.003812207017136669,0.691153849266002,0.7223051797471637,-0.008936609926987544,0.0017852007432034192,-0.0032857704329099895,0.9999530757860499
0.05,45.758194101734794,-387.5011948663983,138.27793869976563,205.69301851576748,1120.8233403781853,123.00068801472133,0.022831827408971092,-0.0013346385069858873,0.6918972973964684,0.7216336024969221,-0.00844690278657578,0.0011438114113772847,-0.0025845356750132677,0.9999603300652051
